id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_spin,final_spin_lower,final_spin_upper,sky_area_(deg^2)
GW150914-v3,GW150914,3,GWTC-2.1-confident,1126259462.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW150914/v3,34.6,-2.6,4.4,30.0,-4.6,2.9,26.0,-0.2,0.1,470,-160,140,-0.04,-0.14,0.12,64.5,-3.2,3.7,27.9,-1.5,1.7,0.10,-0.03,0.03,1.00E-07,1.00,61.5,-2.9,3.4,0.68,-0.05,0.05,250
GW151012-v3,GW151012,3,GWTC-2.1-confident,1128678900.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW151012/v3,24.8,-6.3,14.5,13.6,-4.9,4.5,9.3,-0.5,0.3,"1,000",-490,640,0.12,-0.21,0.28,38.8,-4.7,10.3,15.6,-1.5,2.3,0.20,-0.09,0.11,7.92E-03,1.00,37.1,-4.6,10.6,0.69,-0.13,0.13,"1,700"
GW151226-v2,GW151226,2,GWTC-2.1-confident,1135136350.6,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW151226/v2,14.2,-3.6,11.1,7.5,-2.8,2.4,12.7,-0.4,0.3,460,-200,160,0.20,-0.08,0.23,21.7,-1.6,8.3,8.9,-0.3,0.3,0.10,-0.04,0.03,1.00E-07,1.00,20.5,-1.5,6.4,0.75,-0.05,0.12,950
GW170104-v2,GW170104,2,GWTC-2.1-confident,1167559936.6,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170104/v2,28.7,-4.2,6.6,20.8,-4.7,4.1,13.8,-0.3,0.2,"1,110",-480,390,-0.04,-0.19,0.15,49.6,-3.6,4.7,21.1,-1.5,2.0,0.22,-0.09,0.07,1.00E-07,1.00,47.5,-3.4,4.5,0.67,-0.08,0.06,"1,000"
GW170608-v3,GW170608,3,GWTC-2.1-confident,1180922494.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170608/v3,10.6,-1.4,4.0,7.8,-1.9,1.2,15.3,-0.3,0.2,340,-130,120,-0.05,-0.05,0.13,18.5,-0.6,2.0,7.9,-0.2,0.2,0.07,-0.03,0.03,1.00E-07,1.00,17.7,-0.6,2.1,0.69,-0.03,0.03,380
GW170729-v1,GW170729,1,GWTC-2.1-confident,1185389807.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170729/v1,54.7,-12.8,12.7,30.2,-10.2,11.9,10.7,-0.5,0.4,"2,490","-1,230","1,690",0.29,-0.33,0.25,84.4,-10.9,15.0,34.6,-5.7,7.0,0.44,-0.19,0.24,2.00E-02,0.98,80.3,-10.2,13.5,0.78,-0.22,0.09,830
GW170809-v1,GW170809,1,GWTC-2.1-confident,1186302519.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170809/v1,34.1,-5.3,8.0,24.2,-5.3,4.8,12.8,-0.3,0.2,"1,070",-380,310,0.07,-0.17,0.17,58.5,-3.9,5.3,24.8,-1.6,2.2,0.21,-0.07,0.05,1.00E-07,1.00,55.7,-3.6,5.0,0.71,-0.08,0.08,260
GW170814-v3,GW170814,3,GWTC-2.1-confident,1186741861.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170814/v3,30.9,-3.3,5.4,24.9,-4.0,3.0,17.7,-0.3,0.2,610,-230,160,0.08,-0.12,0.13,56.0,-3.0,3.5,24.1,-1.2,1.4,0.13,-0.05,0.03,1.00E-07,1.00,53.2,-2.7,3.2,0.72,-0.06,0.07,92
GW170817-v3,GW170817,3,GWTC-1-confident,1187008882.4,https://doi.org/10.7935/82H3-HH23,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170817/v3,1.46,-0.10,0.12,1.27,-0.09,0.09,33.0,,,40,-15,7,0.00,-0.01,0.02,2.73,-0.19,0.21,1.186,-0.001,0.001,0.01,0.00,0.00,1.00E-07,1.00,2.8,,,0.89,,,16
GW170818-v1,GW170818,1,GWTC-2.1-confident,1187058327.1,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170818/v1,34.8,-4.2,6.5,27.6,-5.1,4.1,12.0,-0.4,0.3,"1,080",-410,430,-0.06,-0.22,0.19,62.5,-4.6,5.3,26.8,-2.0,2.3,0.21,-0.07,0.07,4.20E-05,1.00,59.7,-4.2,4.9,0.68,-0.08,0.08,35
GW170823-v1,GW170823,1,GWTC-2.1-confident,1187529256.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170823/v1,38.3,-6.2,9.5,29.0,-7.8,6.5,12.2,-0.3,0.2,"1,970",-930,840,0.05,-0.22,0.21,67.0,-7.2,10.3,28.6,-3.3,4.5,0.36,-0.15,0.13,1.00E-07,1.00,63.9,-6.8,9.6,0.71,-0.10,0.08,"1,800"
GW190403_051519-v1,GW190403_051519,1,GWTC-2.1-confident,1238303737.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190403_051519/v1,85.0,-33.0,27.8,20.0,-8.4,26.3,7.6,-1.1,0.6,"8,280","-4,290","6,720",0.68,-0.43,0.16,106.6,-23.6,26.7,34.0,-8.4,15.1,1.18,-0.53,0.73,7.70E+00,0.61,102.2,-24.3,26.3,0.91,-0.17,0.05,"3,900"
GW190408_181802-v2,GW190408_181802,2,GWTC-2.1-confident,1238782700.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190408_181802/v2,24.8,-3.5,5.4,18.5,-4.0,3.3,14.6,-0.3,0.2,"1,540",-620,440,-0.03,-0.17,0.13,43.4,-3.0,4.2,18.5,-1.2,1.9,0.29,-0.11,0.07,1.00E-05,1.00,41.4,-2.9,3.9,0.67,-0.07,0.06,290
GW190412_053044-v4,GW190412,4,GWTC-2.1-confident,1239082262.1,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190412/v4,27.7,-6.0,6.0,9.0,-1.4,2.0,19.8,-0.3,0.2,720,-220,240,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,0.15,-0.04,0.04,1.00E-05,1.00,35.6,-4.5,4.8,0.66,-0.04,0.05,240
GW190413_052954-v2,GW190413_052954,2,GWTC-2.1-confident,1239168612.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_052954/v2,33.7,-6.4,10.4,24.2,-7.0,6.5,9.0,-0.8,0.4,"3,320","-1,400","1,910",-0.04,-0.32,0.27,58.0,-7.8,10.6,24.5,-3.4,4.6,0.56,-0.21,0.25,8.20E-01,0.93,55.5,-7.3,10.1,0.67,-0.12,0.10,650
GW190413_134308-v2,GW190413_134308,2,GWTC-2.1-confident,1239198206.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_134308/v2,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,"3,800","-1,830","2,480",-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,0.62,-0.26,0.32,1.80E-01,0.99,78.0,-11.5,16.1,0.68,-0.18,0.12,630
